# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
10
BLANK_GEOMS,13
# Name, xLoc, yLoc, zLoc, Mass, GeomID
Passengers,3.215000,0.000000,0.000000,500.000000,AYWKAIHEMY
MotorPropMidRR,5.200000,2.000000,0.600000,25.000000,RVGMNNVEIN
MotorPropMidFL,3.300000,-2.000000,0.600000,25.000000,SVDMEUOLQT
MotorPropMidRL,5.200000,-2.000000,0.600000,25.000000,WTFHNONIYQ
MotorPropMidFR,3.300000,2.000000,0.600000,25.000000,LIQYEGAXES
MotorPropTopR,7.100000,2.220000,1.800000,25.000000,QHKNXKXYIH
MotorPropTopL,7.100000,-2.220000,1.800000,25.000000,CPGHMUORIS
MotorPropBotL,1.600000,-1.500000,-0.300000,25.000000,CUUGEGHWTD
MotorPropBotR,1.600000,1.500000,-0.300000,25.000000,WWAQPXKQHQ
Turbogenerator,4.500000,0.000000,-0.100000,66.300000,CLEWADNDXR
Batteries,1.800000,0.000000,-0.500000,297.000000,ZWZRLDGEMK
R_FW_Motor,4.200000,5.200000,1.750000,25.000000,CTLRMAWIYV
L_FW_Motor,4.200000,-5.200000,1.750000,25.000000,WDUVDRNYQD
# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,COBWICBHMW,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,43,17
# x,y,z,u,w
5.559424742939492736e-01, -2.383487656667223897e-01, -5.945789914331698345e-01, 4.285714285714285476e-01, 1.250000000000000000e+00
6.379804879040216203e-01, -3.716109511124837672e-01, -4.942953742390719385e-01, 4.285714285714285476e-01, 1.500000000000000000e+00
7.413723989892921917e-01, -4.296606175157394736e-01, -3.027567274848734780e-01, 4.285714285714285476e-01, 1.750000000000000000e+00
8.388415707876111238e-01, -4.423718260549458492e-01, -3.107329748222011963e-17, 4.285714285714285476e-01, 2.000000000000000000e+00
9.086445958783454513e-01, -4.292654274655589020e-01, 2.863236085396076991e-01, 4.285714285714285476e-01, 2.250000000000000000e+00
9.511709842069298038e-01, -3.705571109786685025e-01, 4.417093936142212351e-01, 4.285714285714285476e-01, 2.500000000000000000e+00
9.723434750603159316e-01, -2.371631955161803140e-01, 5.058401491287342067e-01, 4.285714285714285476e-01, 2.750000000000000000e+00
9.780848077254553630e-01, -4.563890567701079550e-17, 5.183986689880399901e-01, 4.285714285714285476e-01, 3.000000000000000000e+00
9.723434750603159316e-01, 2.371631955161802030e-01, 5.058401491287342067e-01, 4.285714285714285476e-01, 3.250000000000000000e+00
9.511709842069298038e-01, 3.705571109786683914e-01, 4.417093936142212351e-01, 4.285714285714285476e-01, 3.500000000000000000e+00
9.086445958783454513e-01, 4.292654274655588464e-01, 2.863236085396076991e-01, 4.285714285714285476e-01, 3.750000000000000000e+00
8.388415707876112348e-01, 4.423718260549458492e-01, 0.000000000000000000e+00, 4.285714285714285476e-01, 4.000000000000000000e+00
1.022949632239975815e+00, 4.893972300438709233e-01, 0.000000000000000000e+00, 5.000000000000000000e-01, 0.000000000000000000e+00
9.358873251388732939e-01, 4.794865305869757677e-01, -3.411416618549781843e-01, 5.000000000000000000e-01, 2.500000000000000000e-01
8.435346545601030144e-01, 4.221855956551612277e-01, -5.424305686562543860e-01, 5.000000000000000000e-01, 5.000000000000000000e-01
